customer_id_enc,club_member_status_enc,fashion_news_frequency_enc,age_group_enc,purchase_count_norm,avg_spend_norm,total_spend_norm,days_since_last_purchase_norm,age_norm
1,0,1,0,-0.7730144545474303,0.6590866057192551,-0.6138493214874944,0.18438320290776897,-0.9946022980133133
2,0,2,1,-0.33797086402435766,-0.6929105974293501,-0.5879246532123527,0.18438320290776897,-0.3749596863040431
4,0,1,0,-0.33797086402435766,0.5121303879857132,-0.05110071418163494,0.18438320290776897,-0.6073256656950194
5,0,2,1,-0.7730144545474303,-0.45288210846456517,-0.8119940924793205,0.18438320290776897,1.0192361900418152
6,0,1,0,3.287392390334581,-0.31735581877696234,2.639565614374759,0.18438320290776897,-1.149512950940631
9,0,1,0,-0.9180289847217878,0.2672033584298021,-0.858169680080499,0.18438320290776897,-0.8396916450859958
13,0,1,0,-0.7730144545474303,-1.0554026011720938,-0.9193588802854638,0.18438320290776897,-0.9171469715496546
15,0,1,2,-0.7730144545474303,-0.5777948935380749,-0.8342526460488864,0.18438320290776897,1.2516021694327915
16,0,2,1,-0.4829853941987152,-0.501867514375744,-0.6087865916559859,0.18438320290776897,0.32213825186888606
17,0,2,1,-0.9180289847217878,6.068055126431896,-0.3413347950397055,0.18438320290776897,0.6319595577235212
20,0,1,1,-0.6279999243730727,-0.6798478225197061,-0.7623269670633083,0.18438320290776897,0.08977227247790967
23,0,2,0,-0.4829853941987152,-0.2961288095487827,-0.5354642975444739,0.18438320290776897,-0.762236318622337
25,0,2,0,0.5321163170217876,-0.2627296691547946,0.3673600929262102,0.18438320290776897,-0.6847809921586783
26,0,2,0,-0.7730144545474303,0.5121303879857071,-0.640035855098749,0.18438320290776897,-1.2269682774042898
30,0,1,2,-0.4829853941987152,0.5121303879857071,-0.24741242782067377,0.18438320290776897,1.406512822360109
31,0,2,0,-0.9180289847217878,0.7570574175416183,-0.8145254573950746,0.18438320290776897,-1.0720576244769722
34,0,1,0,-0.7730144545474303,-0.2838824580709851,-0.7818795788263776,-5.423378442705639,-1.3044236038679486
39,0,1,1,-0.4829853941987152,-1.1472502372555613,-0.8387916452081716,0.18438320290776897,0.70941488418718
40,0,1,0,-0.33797086402435766,-0.3206215125043721,-0.4220766070077407,0.18438320290776897,-0.6847809921586783
44,0,1,4,-0.6279999243730727,0.855028229363976,-0.3520712738203205,0.18438320290776897,2.0261554340693793
46,0,1,0,-0.9180289847217878,0.7570574175416183,-0.8145254573950746,0.18438320290776897,-0.8396916450859958
49,0,1,0,-0.6279999243730727,-1.0162142764431439,-0.8522340657952812,0.18438320290776897,-0.8396916450859958
52,0,1,1,-0.9180289847217878,-1.005437487142684,-0.9715573706172307,0.18438320290776897,0.4770489047962036
53,0,1,0,-0.9180289847217878,1.7367655357652456,-0.7272370120242261,0.18438320290776897,-1.0720576244769722
55,0,2,0,-0.9180289847217878,0.6590866057192551,-0.8232543019321594,0.18438320290776897,-1.0720576244769722
