article_id_enc,product_type_name_enc,product_group_name_enc,garment_group_name_enc,colour_group_name_enc,avg_price_norm,purchase_count_norm
9910,81,11,18,1,0.9677166551005818,-0.7730144545474303
2295,9,11,18,24,0.04417035048501168,-0.7730144545474303
1545,68,5,7,40,-0.6436530766900616,-0.33797086402435766
11162,68,5,14,40,-0.5624882890920345,-0.33797086402435766
11163,68,5,14,6,-0.566197500172502,-0.33797086402435766
11160,68,5,14,7,-0.5632488026088038,-0.33797086402435766
1544,68,5,7,17,-0.4061947936887446,-0.33797086402435766
11294,5,5,1,19,0.16837058635899813,-0.33797086402435766
1435,77,4,16,1,1.1922690009574777,-0.33797086402435766
5052,77,4,16,11,0.9643708316370583,-0.33797086402435766
11299,5,5,1,48,0.18791574577345851,-0.33797086402435766
11293,5,5,1,45,0.1803540184421473,-0.33797086402435766
2049,13,5,7,7,-0.27793918903051557,-0.7730144545474303
2037,68,5,7,17,-0.40453245783574243,-0.7730144545474303
1473,68,5,7,42,-0.5643993641195999,3.287392390334581
10642,86,5,5,1,-0.94159481034277,3.287392390334581
10424,5,5,14,47,0.18949888466503864,3.287392390334581
7386,60,4,12,22,0.20925308788657557,3.287392390334581
10928,86,5,6,47,-0.5731700365229467,3.287392390334581
10740,73,5,6,47,0.5609010567899866,3.287392390334581
11161,68,5,14,17,-0.5664236867747052,3.287392390334581
10957,73,5,6,1,-0.5579788442663185,3.287392390334581
11405,76,5,14,1,-0.18361151039018925,3.287392390334581
8260,86,5,6,47,-0.8648716171274797,3.287392390334581
9973,86,5,6,1,-0.5579788442663185,3.287392390334581
10959,73,5,6,47,-0.7887541333323114,3.287392390334581
2647,2,0,0,1,0.18370426454588018,3.287392390334581
506,86,5,5,1,-0.94159481034277,3.287392390334581
11541,73,5,6,11,0.5928690539630268,3.287392390334581
593,77,4,17,1,0.14148093387973346,-0.9180289847217878
9030,73,5,6,47,-0.6884082727323161,-0.7730144545474303
10360,86,5,6,1,-0.8648716171274797,-0.7730144545474303
7365,64,9,13,22,-0.5579788442663185,-0.7730144545474303
3149,77,4,16,2,-0.2462908718292076,-0.7730144545474303
8771,68,5,7,5,-0.08229504633152142,-0.4829853941987152
4180,77,4,20,5,-0.42754941580032996,-0.4829853941987152
7218,77,4,20,4,-0.6347020374816088,-0.4829853941987152
6814,77,4,6,47,-0.42754941580032996,-0.4829853941987152
11272,8,8,19,1,5.891372777410938,-0.9180289847217878
10554,43,0,0,24,-0.94159481034277,-0.6279999243730727
997,82,11,18,7,-0.3327003681879302,-0.6279999243730727
6042,5,5,6,1,0.03662590315217333,-0.4829853941987152
6324,5,5,6,1,0.12293949551937217,-0.4829853941987152
10831,76,5,6,5,-0.20914405911413608,-0.4829853941987152
5785,76,5,6,11,-0.5832463492318882,0.5321163170217876
7563,28,0,0,47,-0.8878885750920672,0.5321163170217876
8715,16,3,6,1,-0.17436287818987162,0.5321163170217876
761,51,7,18,24,-0.5835532420047517,0.5321163170217876
3404,16,3,6,1,0.20925308788657557,0.5321163170217876
3418,16,3,6,1,-0.7941528477290398,0.5321163170217876
10981,16,3,5,1,-0.17436287818987162,0.5321163170217876
5781,76,5,6,1,-0.5757347832675744,0.5321163170217876
3887,77,4,16,1,0.11120084695743745,0.5321163170217876
6530,77,4,6,24,0.9321773759576409,0.5321163170217876
6043,5,5,6,1,0.18178618471549954,0.5321163170217876
1589,58,5,1,47,-0.1842218085180366,-0.7730144545474303
10060,16,3,6,1,0.9209459529508486,-0.7730144545474303
106,52,7,18,2,0.20227825213972916,-0.4829853941987152
1497,52,7,18,1,0.5928690539630268,-0.4829853941987152
9819,68,5,7,0,0.544139989964493,-0.9180289847217878
8207,68,5,7,11,0.5090489653753201,-0.7730144545474303
6895,73,5,5,42,-1.1729807332957114,-0.4829853941987152
1617,52,7,18,23,-0.19354367649369753,-0.4829853941987152
3062,0,0,0,25,-1.0950411967733507,-0.4829853941987152
9615,11,0,0,45,-1.0950411967733507,-0.4829853941987152
5665,82,11,18,11,-0.5707223795296399,-0.33797086402435766
4067,9,11,18,19,0.5928690539630268,-0.33797086402435766
10567,68,5,7,1,-0.5691629231699203,-0.33797086402435766
10721,68,5,6,1,-0.1966126042223095,-0.33797086402435766
5662,82,11,18,1,-0.5616231959440461,-0.33797086402435766
201,13,5,6,17,1.7437169521923725,-0.6279999243730727
4855,68,5,6,1,0.5832786548111139,-0.6279999243730727
1777,76,5,5,1,-0.3470996674860119,-0.6279999243730727
1963,77,4,16,47,0.536203495545446,-0.9180289847217878
7626,86,5,6,24,-0.6743423539761767,-0.6279999243730727
7815,86,5,6,47,-0.951185209494683,-0.6279999243730727
7577,73,5,6,40,-0.5638806283598027,-0.6279999243730727
2128,68,5,6,47,-0.7873811919800353,-0.9180289847217878
